dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j20,PSP31.SCH,solver_3,feasible,93,1604.1,2.00,8,42,120,true,"7, 5, 22, 0, 7, 41, 73, 51, 55, 56, 28, 56, 16, 51, 31, 52, 42, 66, 83, 83"
sm_j20,PSP32.SCH,solver_3,feasible,69,1601.1,2.00,8,42,120,true,"32, 2, 63, 25, 7, 16, 0, 0, 12, 20, 32, 67, 63, 34, 43, 58, 58, 68, 52, 34"
sm_j20,PSP33.SCH,solver_3,feasible,102,1605.9,2.00,8,42,120,true,"19, 19, 14, 6, 55, 69, 45, 26, 35, 56, 67, 61, 50, 0, 78, 83, 88, 96, 77, 61"
sm_j20,PSP35.SCH,solver_3,feasible,105,1601.2,2.00,8,42,120,true,"6, 36, 21, 31, 11, 51, 54, 0, 0, 11, 46, 55, 96, 82, 89, 55, 103, 96, 65, 74"
sm_j20,PSP34.SCH,solver_3,feasible,93,1603.2,2.00,8,42,120,true,"37, 0, 9, 44, 20, 31, 15, 23, 0, 44, 52, 55, 58, 66, 72, 58, 61, 76, 89, 83"
sm_j20,PSP36.SCH,solver_3,feasible,70,1606.9,2.00,8,42,120,true,"31, 0, 0, 13, 11, 23, 6, 61, 13, 13, 68, 49, 52, 67, 40, 55, 40, 31, 55, 61"
sm_j20,PSP37.SCH,solver_3,feasible,80,1606.1,2.00,8,42,120,true,"13, 13, 27, 0, 23, 4, 60, 1, 70, 18, 57, 27, 50, 18, 45, 69, 34, 37, 70, 45"
sm_j20,PSP38.SCH,solver_3,feasible,106,1602.5,2.00,8,42,120,true,"56, 37, 20, 0, 29, 0, 51, 44, 0, 10, 61, 78, 87, 103, 68, 99, 68, 1, 93, 78"
sm_j20,PSP39.SCH,solver_3,feasible,77,1602.7,2.00,8,42,120,true,"20, 25, 7, 14, 36, 5, 36, 14, 54, 18, 30, 56, 56, 46, 69, 35, 0, 36, 25, 61"
sm_j20,PSP40.SCH,solver_3,feasible,89,1603.9,2.00,8,42,120,true,"9, 28, 60, 0, 45, 45, 57, 35, 50, 76, 19, 66, 60, 50, 87, 86, 88, 80, 82, 35"
