dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts
sm_j20,PSP1.SCH,solver_2,error,,16.4,2.00,4,,
sm_j20,PSP3.SCH,solver_2,error,,17.1,2.00,4,,
sm_j20,PSP2.SCH,solver_2,error,,17.9,2.00,4,,
sm_j20,PSP5.SCH,solver_2,error,,14.5,2.00,4,,
sm_j20,PSP4.SCH,solver_2,error,,18.4,2.00,4,,
sm_j20,PSP7.SCH,solver_2,error,,14.5,2.00,4,,
sm_j20,PSP6.SCH,solver_2,error,,18.7,2.00,4,,
sm_j20,PSP9.SCH,solver_2,error,,14.4,2.00,4,,
sm_j20,PSP8.SCH,solver_2,error,,19.3,2.00,4,,
sm_j20,PSP10.SCH,solver_2,error,,18.5,2.00,4,,
sm_j20,PSP11.SCH,solver_2,error,,16.2,2.00,4,,
sm_j20,PSP13.SCH,solver_2,error,,15.6,2.00,4,,
sm_j20,PSP12.SCH,solver_2,error,,18.8,2.00,4,,
sm_j20,PSP15.SCH,solver_2,error,,13.4,2.00,4,,
sm_j20,PSP14.SCH,solver_2,error,,16.6,2.00,4,,
sm_j20,PSP17.SCH,solver_2,error,,17.7,2.00,4,,
sm_j20,PSP16.SCH,solver_2,error,,19.2,2.00,4,,
sm_j20,PSP19.SCH,solver_2,error,,16.2,2.00,4,,
sm_j20,PSP18.SCH,solver_2,error,,20.9,2.00,4,,
sm_j20,PSP20.SCH,solver_2,error,,16.1,2.00,4,,
sm_j20,PSP22.SCH,solver_2,error,,20.6,2.00,4,,
sm_j20,PSP21.SCH,solver_2,error,,21.4,2.00,4,,
sm_j20,PSP23.SCH,solver_2,error,,18.6,2.00,4,,
sm_j20,PSP24.SCH,solver_2,error,,21.9,2.00,4,,
sm_j20,PSP25.SCH,solver_2,error,,19.0,2.00,4,,
sm_j20,PSP26.SCH,solver_2,error,,18.6,2.00,4,,
sm_j20,PSP27.SCH,solver_2,error,,18.9,2.00,4,,
sm_j20,PSP28.SCH,solver_2,error,,17.4,2.00,4,,
sm_j20,PSP29.SCH,solver_2,error,,17.2,2.00,4,,
sm_j20,PSP30.SCH,solver_2,error,,17.8,2.00,4,,
sm_j20,PSP31.SCH,solver_2,error,,18.8,2.00,4,,
sm_j20,PSP34.SCH,solver_2,error,,14.9,2.00,4,,
sm_j20,PSP32.SCH,solver_2,error,,17.6,2.00,4,,
sm_j20,PSP33.SCH,solver_2,error,,18.6,2.00,4,,
