dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP1.SCH,solver_topological,feasible,33,0.1,,8,,,true,"0, 0, 3, 0, 6, 28, 18, 16, 10, 6"
sm_j10,PSP2.SCH,solver_topological,feasible,51,0.1,,8,,,true,"20, 10, 0, 19, 0, 24, 34, 34, 43, 36"
sm_j10,PSP4.SCH,solver_topological,feasible,40,0.1,,8,,,true,"15, 3, 5, 0, 3, 23, 10, 15, 23, 33"
sm_j10,PSP3.SCH,solver_topological,feasible,49,0.2,,8,,,true,"8, 18, 0, 9, 35, 41, 44, 3, 25, 9"
sm_j10,PSP5.SCH,solver_topological,feasible,32,0.1,,8,,,true,"0, 0, 9, 0, 11, 15, 13, 13, 13, 23"
sm_j10,PSP7.SCH,solver_topological,feasible,35,0.1,,8,,,true,"9, 0, 0, 9, 1, 21, 26, 26, 26, 18"
sm_j10,PSP6.SCH,solver_topological,feasible,34,0.1,,8,,,true,"6, 0, 6, 0, 10, 10, 20, 25, 25, 10"
sm_j10,PSP9.SCH,solver_topological,feasible,53,0.1,,8,,,true,"12, 0, 10, 0, 17, 39, 45, 25, 45, 35"
sm_j10,PSP8.SCH,solver_topological,feasible,38,0.1,,8,,,true,"17, 4, 4, 26, 26, 0, 35, 35, 3, 14"
sm_j10,PSP10.SCH,solver_topological,feasible,34,0.1,,8,,,true,"5, 16, 0, 1, 1, 13, 26, 19, 10, 30"
sm_j10,PSP13.SCH,solver_topological,feasible,37,0.1,,8,,,true,"0, 0, 8, 3, 7, 8, 18, 18, 27, 7"
sm_j10,PSP12.SCH,solver_topological,feasible,31,0.1,,8,,,true,"14, 0, 0, 8, 0, 0, 23, 30, 21, 14"
sm_j10,PSP14.SCH,solver_topological,feasible,23,0.1,,8,,,true,"9, 5, 0, 8, 5, 0, 14, 14, 12, 19"
sm_j10,PSP11.SCH,solver_topological,feasible,29,0.1,,8,,,true,"2, 10, 2, 12, 0, 12, 18, 24, 12, 14"
sm_j10,PSP15.SCH,solver_topological,feasible,42,0.2,,8,,,true,"9, 0, 9, 0, 9, 15, 20, 19, 33, 23"
sm_j10,PSP16.SCH,solver_topological,feasible,27,0.0,,8,,,true,"1, 8, 0, 0, 8, 20, 10, 10, 14, 25"
sm_j10,PSP17.SCH,solver_topological,true_infeasible,,0.0,,8,,,true,-1
sm_j10,PSP18.SCH,solver_topological,feasible,34,0.1,,8,,,true,"21, 0, 18, 0, 10, 32, 28, 28, 18, 18"
sm_j10,PSP19.SCH,solver_topological,feasible,25,0.1,,8,,,true,"0, 0, 6, 2, 14, 10, 17, 3, 0, 5"
sm_j10,PSP21.SCH,solver_topological,feasible,31,0.1,,8,,,true,"0, 0, 0, 6, 9, 12, 12, 24, 21, 0"
sm_j10,PSP20.SCH,solver_topological,feasible,39,0.1,,8,,,true,"10, 6, 5, 10, 0, 20, 29, 29, 0, 20"
sm_j10,PSP22.SCH,solver_topological,feasible,21,0.1,,8,,,true,"0, 2, 3, 0, 2, 8, 8, 10, 10, 15"
sm_j10,PSP24.SCH,solver_topological,feasible,23,0.0,,8,,,true,"0, 0, 0, 0, 6, 3, 3, 2, 6, 15"
sm_j10,PSP25.SCH,solver_topological,feasible,41,0.1,,8,,,true,"3, 2, 0, 0, 0, 23, 13, 33, 6, 38"
sm_j10,PSP27.SCH,solver_topological,true_infeasible,,0.0,,8,,,true,-1
sm_j10,PSP26.SCH,solver_topological,true_infeasible,,0.0,,8,,,true,-1
sm_j10,PSP28.SCH,solver_topological,feasible,25,0.1,,8,,,true,"0, 0, 0, 6, 1, 4, 9, 9, 18, 20"
sm_j10,PSP30.SCH,solver_topological,feasible,30,0.1,,8,,,true,"0, 9, 0, 5, 0, 20, 20, 11, 11, 21"
sm_j10,PSP29.SCH,solver_topological,feasible,29,0.1,,8,,,true,"0, 5, 0, 0, 0, 12, 12, 20, 12, 28"
sm_j10,PSP23.SCH,solver_topological,feasible,18,0.1,,8,,,true,"0, 0, 0, 2, 14, 9, 9, 10, 8, 0"
sm_j10,PSP31.SCH,solver_topological,feasible,62,0.2,,8,,,true,"17, 25, 7, 23, 53, 0, 59, 34, 23, 44"
sm_j10,PSP33.SCH,solver_topological,feasible,74,0.1,,8,,,true,"1, 21, 0, 17, 10, 35, 27, 45, 54, 64"
sm_j10,PSP34.SCH,solver_topological,feasible,59,0.1,,8,,,true,"0, 17, 10, 21, 29, 52, 48, 0, 40, 39"
sm_j10,PSP35.SCH,solver_topological,feasible,45,0.2,,8,,,true,"8, 0, 7, 0, 14, 17, 42, 44, 33, 25"
sm_j10,PSP32.SCH,solver_topological,feasible,43,0.1,,8,,,true,"0, 11, 13, 9, 17, 40, 27, 17, 33, 31"
sm_j10,PSP36.SCH,solver_topological,feasible,51,0.1,,8,,,true,"29, 19, 0, 24, 10, 38, 29, 45, 35, 36"
sm_j10,PSP40.SCH,solver_topological,feasible,49,0.1,,8,,,true,"15, 9, 9, 0, 30, 30, 35, 42, 40, 20"
sm_j10,PSP41.SCH,solver_topological,feasible,43,0.1,,8,,,true,"11, 4, 0, 2, 16, 21, 16, 0, 39, 31"
sm_j10,PSP39.SCH,solver_topological,feasible,48,0.1,,8,,,true,"13, 17, 9, 0, 36, 38, 20, 0, 27, 43"
sm_j10,PSP42.SCH,solver_topological,feasible,33,0.1,,8,,,true,"4, 4, 0, 3, 26, 23, 14, 28, 14, 23"
sm_j10,PSP37.SCH,solver_topological,feasible,32,0.2,,8,,,true,"6, 0, 0, 17, 9, 30, 16, 20, 17, 20"
sm_j10,PSP38.SCH,solver_topological,feasible,43,0.2,,8,,,true,"9, 0, 0, 17, 14, 27, 9, 29, 31, 40"
sm_j10,PSP43.SCH,solver_topological,feasible,30,0.1,,8,,,true,"1, 0, 0, 3, 11, 10, 20, 11, 26, 20"
sm_j10,PSP46.SCH,solver_topological,feasible,28,0.1,,8,,,true,"5, 0, 2, 0, 11, 12, 9, 9, 19, 5"
sm_j10,PSP44.SCH,solver_topological,feasible,37,0.3,,8,,,true,"3, 8, 0, 0, 0, 15, 34, 6, 31, 21"
