dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP182.SCH,solver_optimal,feasible_optimal,27,43.0,29.00,8,,,true,"0, 7, 12, 5, 9, 2, 16, 2, 24, 16"
sm_j10,PSP183.SCH,solver_optimal,feasible_optimal,40,138.9,29.00,8,,,true,"10, 0, 31, 31, 16, 23, 19, 34, 32, 19"
sm_j10,PSP180.SCH,solver_optimal,feasible_optimal,43,390.1,29.00,8,,,true,"9, 11, 18, 12, 27, 40, 18, 34, 0, 27"
sm_j10,PSP179.SCH,solver_optimal,feasible_optimal,24,400.8,29.00,8,,,true,"4, 0, 0, 6, 8, 9, 14, 17, 14, 10"
sm_j10,PSP185.SCH,solver_optimal,feasible_optimal,29,109.3,29.00,8,,,true,"3, 8, 22, 0, 8, 18, 5, 15, 23, 23"
sm_j10,PSP164.SCH,solver_optimal,feasible_optimal,60,1755.7,29.00,8,,,true,"14, 0, 15, 8, 37, 15, 25, 30, 40, 50"
sm_j10,PSP187.SCH,solver_optimal,feasible_optimal,48,366.8,29.00,8,,,true,"0, 0, 25, 17, 8, 17, 35, 25, 0, 43"
sm_j10,PSP175.SCH,solver_optimal,feasible_optimal,16,1130.4,29.00,8,,,true,"7, 0, 4, 5, 13, 8, 4, 0, 10, 10"
sm_j10,PSP188.SCH,solver_optimal,feasible_optimal,30,248.8,29.00,8,,,true,"11, 0, 0, 25, 17, 11, 8, 21, 6, 27"
sm_j10,PSP190.SCH,solver_optimal,feasible_optimal,36,38.2,29.00,8,,,true,"5, 0, 0, 2, 5, 2, 19, 25, 15, 31"
sm_j10,PSP191.SCH,solver_optimal,feasible_optimal,47,41.1,29.00,8,,,true,"0, 0, 16, 9, 16, 38, 29, 26, 39, 29"
sm_j10,PSP189.SCH,solver_optimal,feasible_optimal,28,80.3,29.00,8,,,true,"1, 1, 0, 10, 4, 1, 7, 13, 19, 10"
sm_j10,PSP193.SCH,solver_optimal,feasible_optimal,34,43.0,29.00,8,,,true,"5, 0, 17, 23, 25, 0, 17, 8, 25, 25"
sm_j10,PSP195.SCH,solver_optimal,true_infeasible,,1.4,29.00,8,,,true,-1
sm_j10,PSP192.SCH,solver_optimal,feasible_optimal,54,62.8,29.00,8,,,true,"0, 9, 12, 14, 34, 24, 46, 37, 24, 24"
sm_j10,PSP196.SCH,solver_optimal,true_infeasible,,1.0,29.00,8,,,true,-1
sm_j10,PSP198.SCH,solver_optimal,true_infeasible,,1.2,29.00,8,,,true,-1
sm_j10,PSP167.SCH,solver_optimal,feasible_optimal,46,1949.4,29.00,8,,,true,"0, 8, 9, 14, 0, 14, 31, 21, 20, 39"
sm_j10,PSP197.SCH,solver_optimal,feasible_optimal,38,41.9,29.00,8,,,true,"0, 17, 0, 19, 4, 10, 4, 29, 8, 17"
sm_j10,PSP201.SCH,solver_optimal,true_infeasible,,1.8,29.00,8,,,true,-1
sm_j10,PSP202.SCH,solver_optimal,true_infeasible,,1.4,29.00,8,,,true,-1
sm_j10,PSP194.SCH,solver_optimal,feasible_optimal,33,157.5,29.00,8,,,true,"7, 0, 0, 8, 8, 26, 17, 17, 31, 11"
sm_j10,PSP203.SCH,solver_optimal,feasible_optimal,28,84.1,29.00,8,,,true,"0, 12, 17, 15, 3, 4, 18, 18, 15, 26"
sm_j10,PSP204.SCH,solver_optimal,feasible_optimal,40,90.7,29.00,8,,,true,"0, 9, 30, 30, 0, 29, 13, 23, 5, 31"
sm_j10,PSP206.SCH,solver_optimal,feasible_optimal,32,40.9,29.00,8,,,true,"6, 0, 0, 9, 6, 16, 23, 25, 16, 29"
sm_j10,PSP200.SCH,solver_optimal,feasible_optimal,41,216.7,29.00,8,,,true,"14, 0, 4, 0, 14, 14, 7, 32, 24, 32"
sm_j10,PSP208.SCH,solver_optimal,true_infeasible,,0.9,29.00,8,,,true,-1
sm_j10,PSP199.SCH,solver_optimal,feasible_optimal,31,253.4,29.00,8,,,true,"4, 0, 1, 9, 9, 4, 18, 4, 18, 27"
sm_j10,PSP209.SCH,solver_optimal,true_infeasible,,1.5,29.00,8,,,true,-1
sm_j10,PSP207.SCH,solver_optimal,feasible_optimal,45,50.8,29.00,8,,,true,"0, 6, 30, 33, 10, 20, 28, 6, 20, 42"
sm_j10,PSP184.SCH,solver_optimal,feasible_optimal,35,946.8,29.00,8,,,true,"12, 25, 18, 7, 0, 16, 18, 3, 23, 25"
sm_j10,PSP212.SCH,solver_optimal,feasible_optimal,49,123.3,29.00,8,,,true,"0, 31, 14, 0, 24, 10, 38, 48, 32, 31"
sm_j10,PSP213.SCH,solver_optimal,feasible_optimal,35,84.4,29.00,8,,,true,"11, 5, 0, 21, 11, 8, 21, 24, 34, 32"
sm_j10,PSP211.SCH,solver_optimal,feasible_optimal,38,209.5,29.00,8,,,true,"17, 33, 10, 19, 11, 0, 20, 36, 28, 37"
sm_j10,PSP210.SCH,solver_optimal,feasible_optimal,29,216.9,29.00,8,,,true,"0, 10, 0, 0, 16, 10, 10, 15, 14, 22"
sm_j10,PSP215.SCH,solver_optimal,feasible_optimal,43,65.4,29.00,8,,,true,"0, 27, 7, 1, 13, 8, 21, 4, 35, 27"
sm_j10,PSP214.SCH,solver_optimal,feasible_optimal,33,99.2,29.00,8,,,true,"0, 4, 0, 8, 11, 12, 9, 15, 24, 24"
sm_j10,PSP217.SCH,solver_optimal,feasible_optimal,63,77.0,29.00,8,,,true,"0, 25, 35, 30, 17, 36, 8, 51, 60, 41"
sm_j10,PSP216.SCH,solver_optimal,feasible_optimal,45,92.2,29.00,8,,,true,"17, 0, 7, 22, 32, 37, 34, 22, 40, 37"
sm_j10,PSP219.SCH,solver_optimal,feasible_optimal,42,109.7,29.00,8,,,true,"0, 12, 0, 24, 12, 20, 5, 25, 36, 26"
sm_j10,PSP220.SCH,solver_optimal,feasible_optimal,50,135.8,29.00,8,,,true,"0, 0, 10, 26, 14, 39, 21, 26, 41, 36"
sm_j10,PSP222.SCH,solver_optimal,feasible_optimal,64,104.2,29.00,8,,,true,"0, 0, 45, 9, 36, 18, 27, 54, 61, 0"
sm_j10,PSP186.SCH,solver_optimal,feasible_optimal,28,1447.1,29.00,8,,,true,"6, 0, 0, 0, 2, 25, 11, 6, 20, 11"
sm_j10,PSP218.SCH,solver_optimal,feasible_optimal,46,410.8,29.00,8,,,true,"5, 12, 12, 39, 19, 20, 29, 0, 20, 29"
sm_j10,PSP225.SCH,solver_optimal,feasible_optimal,31,113.3,29.00,8,,,true,"0, 12, 15, 25, 6, 21, 18, 27, 15, 16"
sm_j10,PSP227.SCH,solver_optimal,feasible_optimal,36,55.1,29.00,8,,,true,"0, 0, 8, 8, 17, 34, 28, 20, 15, 35"
sm_j10,PSP224.SCH,solver_optimal,feasible_optimal,51,362.8,29.00,8,,,true,"0, 0, 10, 16, 37, 27, 16, 37, 26, 46"
sm_j10,PSP229.SCH,solver_optimal,feasible_optimal,55,141.7,29.00,8,,,true,"10, 0, 8, 26, 19, 10, 25, 46, 51, 36"
sm_j10,PSP221.SCH,solver_optimal,feasible_optimal,38,726.9,29.00,8,,,true,"8, 8, 0, 0, 15, 10, 23, 23, 31, 31"
sm_j10,PSP231.SCH,solver_optimal,feasible_optimal,38,56.1,29.00,8,,,true,"0, 20, 17, 15, 14, 7, 36, 14, 29, 34"
sm_j10,PSP160.SCH,solver_optimal,feasible_optimal,59,4159.6,29.00,8,,,true,"14, 0, 17, 53, 9, 18, 28, 54, 38, 46"
sm_j10,PSP230.SCH,solver_optimal,feasible_optimal,56,159.8,29.00,8,,,true,"0, 25, 17, 9, 33, 9, 25, 38, 52, 45"
sm_j10,PSP228.SCH,solver_optimal,feasible_optimal,44,375.6,29.00,8,,,true,"0, 20, 10, 22, 14, 0, 31, 37, 42, 22"
sm_j10,PSP233.SCH,solver_optimal,feasible_optimal,35,55.7,29.00,8,,,true,"6, 14, 23, 6, 18, 14, 0, 25, 23, 32"
sm_j10,PSP236.SCH,solver_optimal,feasible_optimal,30,52.4,29.00,8,,,true,"0, 0, 19, 11, 0, 8, 4, 18, 19, 29"
sm_j10,PSP234.SCH,solver_optimal,feasible_optimal,46,177.4,29.00,8,,,true,"0, 0, 0, 24, 0, 26, 19, 10, 42, 33"
sm_j10,PSP237.SCH,solver_optimal,feasible_optimal,39,281.5,29.00,8,,,true,"6, 9, 0, 0, 10, 20, 10, 22, 32, 22"
sm_j10,PSP239.SCH,solver_optimal,true_infeasible,,0.8,29.00,8,,,true,-1
sm_j10,PSP240.SCH,solver_optimal,feasible_optimal,40,79.7,29.00,8,,,true,"5, 0, 0, 30, 16, 21, 34, 16, 9, 35"
sm_j10,PSP232.SCH,solver_optimal,feasible_optimal,37,541.3,29.00,8,,,true,"8, 0, 0, 8, 2, 11, 12, 27, 17, 27"
sm_j10,PSP242.SCH,solver_optimal,feasible_optimal,49,50.2,29.00,8,,,true,"0, 3, 36, 38, 20, 11, 34, 30, 15, 39"
sm_j10,PSP243.SCH,solver_optimal,feasible_optimal,33,39.0,29.00,8,,,true,"21, 0, 5, 30, 20, 24, 21, 26, 14, 32"
sm_j10,PSP244.SCH,solver_optimal,feasible_optimal,57,140.6,29.00,8,,,true,"13, 0, 1, 23, 27, 19, 7, 35, 50, 42"
sm_j10,PSP245.SCH,solver_optimal,feasible_optimal,61,88.1,29.00,8,,,true,"0, 11, 17, 5, 27, 36, 22, 52, 42, 59"
sm_j10,PSP238.SCH,solver_optimal,feasible_optimal,45,962.7,29.00,8,,,true,"0, 17, 8, 20, 38, 17, 40, 44, 30, 8"
sm_j10,PSP246.SCH,solver_optimal,feasible_optimal,56,696.1,29.00,8,,,true,"34, 3, 24, 12, 22, 0, 26, 8, 49, 42"
sm_j10,PSP248.SCH,solver_optimal,feasible_optimal,49,74.8,29.00,8,,,true,"0, 14, 42, 27, 29, 21, 25, 4, 29, 34"
sm_j10,PSP249.SCH,solver_optimal,feasible_optimal,51,108.5,29.00,8,,,true,"24, 0, 36, 24, 14, 29, 13, 4, 47, 42"
sm_j10,PSP223.SCH,solver_optimal,feasible_optimal,34,2419.9,29.00,8,,,true,"13, 0, 29, 15, 4, 4, 12, 0, 22, 19"
sm_j10,PSP251.SCH,solver_optimal,feasible_optimal,54,111.1,29.00,8,,,true,"5, 6, 14, 6, 29, 24, 0, 35, 49, 42"
sm_j10,PSP252.SCH,solver_optimal,feasible_optimal,62,69.1,29.00,8,,,true,"0, 10, 35, 25, 39, 35, 18, 34, 49, 53"
sm_j10,PSP247.SCH,solver_optimal,feasible_optimal,57,787.2,29.00,8,,,true,"12, 0, 19, 27, 54, 43, 16, 37, 5, 49"
sm_j10,PSP253.SCH,solver_optimal,feasible_optimal,25,93.8,29.00,8,,,true,"1, 22, 5, 0, 6, 1, 19, 2, 9, 19"
sm_j10,PSP235.SCH,solver_optimal,feasible_optimal,33,1990.9,29.00,8,,,true,"4, 0, 21, 12, 27, 0, 0, 21, 4, 29"
sm_j10,PSP254.SCH,solver_optimal,feasible_optimal,65,65.5,29.00,8,,,true,"0, 7, 11, 30, 38, 20, 36, 32, 47, 57"
sm_j10,PSP256.SCH,solver_optimal,feasible_optimal,39,56.5,29.00,8,,,true,"0, 9, 0, 11, 15, 25, 33, 25, 33, 15"
sm_j10,PSP257.SCH,solver_optimal,feasible_optimal,42,91.5,29.00,8,,,true,"0, 21, 21, 10, 8, 18, 27, 31, 27, 37"
sm_j10,PSP258.SCH,solver_optimal,feasible_optimal,46,78.9,29.00,8,,,true,"2, 0, 28, 13, 3, 5, 18, 29, 38, 44"
sm_j10,PSP250.SCH,solver_optimal,feasible_optimal,68,455.7,29.00,8,,,true,"34, 39, 19, 16, 24, 0, 8, 64, 58, 49"
sm_j10,PSP259.SCH,solver_optimal,feasible_optimal,36,77.5,29.00,8,,,true,"15, 0, 0, 19, 10, 19, 18, 24, 29, 29"
sm_j10,PSP261.SCH,solver_optimal,feasible_optimal,44,367.4,29.00,8,,,true,"1, 5, 30, 20, 30, 24, 1, 39, 11, 0"
